code,n,human_pos,gemini_pos,both_1,human_only,gemini_only,agreement,alpha,f1,note
power,30,23,24,23,0,1,0.967,0.903,0.979,
privacy,30,4,3,3,1,0,0.967,0.841,0.857,
safety,30,26,30,26,0,4,0.867,-0.054,0.929,
choice,30,0,0,0,0,0,1.0,,,ALL_ZERO
community,30,5,6,5,0,1,0.967,0.891,0.909,
engagement,30,0,6,0,0,6,0.8,-0.093,0.0,
ip_protection,30,1,1,1,0,0,1.0,1.0,1.0,PERFECT
improvement,30,1,1,1,0,0,1.0,1.0,1.0,PERFECT
care,30,0,0,0,0,0,1.0,,,ALL_ZERO
accountability,30,0,0,0,0,0,1.0,,,ALL_ZERO
B1_authenticity_claims,30,0,0,0,0,0,1.0,,,ALL_ZERO
B2_religious_sensitivity,30,11,11,11,0,0,1.0,1.0,1.0,PERFECT
B3_indigenous_minority,30,19,24,19,0,5,0.833,0.596,0.884,
B4_traditional_craftsmanship,30,10,10,10,0,0,1.0,1.0,1.0,PERFECT
B5_commercialization_culture,30,0,0,0,0,0,1.0,,,ALL_ZERO
B6_ai_cultural_content,30,0,0,0,0,0,1.0,,,ALL_ZERO
